,Barcode,Purity,Set
0,TCGA-AO-A03L-01A-41D-A10P-05,0.7349,Train
1,TCGA-EW-A1PB-01A-11D-A145-05,0.4611,Train
2,TCGA-BH-A0AW-01A-11D-A10P-05,0.6617,Train
3,TCGA-BH-A1FB-01A-11D-A13K-05,0.6007,Train
4,TCGA-EW-A1OY-01A-11D-A145-05,0.8973,Train
5,TCGA-B6-A408-01A-12D-A244-05,0.8016,Train
6,TCGA-D8-A27T-01A-11D-A16G-05,0.7142,Train
7,TCGA-E9-A1R3-01A-31D-A14N-05,0.6115,Train
8,TCGA-E2-A1IL-01A-11D-A14H-05,0.8323,Train
9,TCGA-AO-A03N-01B-11D-A10N-05,0.7942,Train
10,TCGA-LD-A74U-01A-13D-A33F-05,0.5623,Train
11,TCGA-C8-A1HG-01A-11D-A138-05,0.6315,Train
12,TCGA-BH-A1F8-01A-11D-A13K-05,0.8885,Train
13,TCGA-BH-A0BF-01A-21D-A12R-05,0.5676,Train
14,TCGA-E9-A24A-01A-11D-A16A-05,0.7263,Train
15,TCGA-BH-A1EN-01A-11D-A13K-05,0.8179,Train
16,TCGA-BH-A1FH-01A-12D-A13K-05,0.6881,Train
17,TCGA-C8-A1HJ-01A-11D-A13K-05,0.8699,Train
18,TCGA-E9-A1RF-01A-11D-A161-05,0.6424,Train
19,TCGA-JL-A3YW-01A-12D-A23D-05,0.6126,Train
20,TCGA-AR-A2LQ-01A-22D-A18O-05,0.5055,Train
21,TCGA-E9-A1NA-01A-11D-A145-05,0.7216,Train
22,TCGA-C8-A274-01A-11D-A16G-05,0.8912,Train
23,TCGA-A2-A0YE-01A-11D-A10A-05,0.8224,Train
24,TCGA-A2-A25B-01A-11D-A16A-05,0.8657,Train
25,TCGA-A7-A6VW-01A-21D-A33F-05,0.8178,Train
26,TCGA-D8-A1XG-01A-11D-A14H-05,0.8957,Train
27,TCGA-E9-A1NF-01A-11D-A14H-05,0.5489,Train
28,TCGA-BH-A1FR-01A-11D-A13K-05,0.7881,Train
29,TCGA-LL-A6FQ-01A-11D-A31V-05,0.7826,Train
30,TCGA-AR-A0TZ-01A-12D-A10P-05,0.8597,Train
